ID,Name,URL,Owner,Platform,Version,Notes
1,Berkeley Law Scholarship Repository,https://lawcat.berkeley.edu/collection/Repository?ln=en,Berkeley Law Library,tind,latest,
2,Scholarly Commons@CWRU,https://commons.case.edu/,Case Western Reserve University,bepress,,
3,Academic Commons,https://academiccommons.columbia.edu/,Columbia University Libraries,fedora,"Blacklight 7.29, Fedora 3.8",
4,Digital Access to Scholarship at Harvard (DASH),https://dash.harvard.edu/,Harvard Library,dspace,,
5,MediArXiv Preprints,https://osf.io/preprints/mediarxiv/discover,mediArXiv,osf,,
6,ScholarsArchive@OSU,https://ir.library.oregonstate.edu/,Oregon State University,hyrax,2/3,
7,Open Access Repository,http://oar.princeton.edu/,Princeton University,dspace,5,
8,,,Stanford University,unknown,,
9,TAMU-CC Institutional Repository,https://tamucc-ir.tdl.org/home,Texas Digital Library,dspace,7,
10,UA Campus Repository,https://repository.arizona.edu/,University of Arizona,unknown,,
11,Knowledge@UChicago,https://knowledge.uchicago.edu/,University of Chicago,tind,,
12,CU Scholar,https://scholar.colorado.edu/,University of Colorado Boulder,hyrax,2 - but upgrading to 5,
13,INDIGO,http://indigo.uic.edu/,University of Illinois,figshare,,
14,ScholarWorks@UMassAmherst,https://scholarworks.umass.edu/,University of Massachusetts Amherst,digital-commons,,
15,Scholarship@Miami,https://scholarship.miami.edu/,University of Miami,esploro,,
16,Deep Blue Documents,https://deepblue.lib.umich.edu/documents,University of Michigan,dspace,6,
17,AgEcon,https://ageconsearch.umn.edu/,University of Minnesota,tind,,
18,UNT Scholarly Works,https://digital.library.unt.edu/scholarlyworks,University of North Texas - Denton,bespoke,,
19,Texas ScholarWorks,https://repositories.lib.utexas.edu/home,"University of Texas, Austin",dspace,7,
20,Research Exchange,https://rex.libraries.wsu.edu/esploro/,Washington State University,unknown,,
21,eScholarship,https://escholarship.org/,University of California,bespoke,,Custom system; further details: https://help.escholarship.org/support/solutions/folders/9000181333
22,CSUSB ScholarWorks,https://scholarworks.lib.csusb.edu/,"California State University, San Bernardino",digital-commons,,
23,Fulcrum,https://www.fulcrum.org/michigan,University of Michigan,fulcrum,,
